anno,ateneo,area,gruppo,classe_laurea,classe_des,nome_corso,level,provincia,comune,accesso,didattica
2024,Bari,"Artistica, Letteraria ed Educazione",Arte e Design,L-1,Beni culturali,Scienze dei Beni Culturali,triennale,BARI,BARI,accesso libero,in presenza
2024,Basilicata,"Artistica, Letteraria ed Educazione",Arte e Design,L-1,Beni culturali,Operatore dei Beni Culturali,triennale,MATERA,MATERA,accesso libero,in presenza
2024,Bologna,"Artistica, Letteraria ed Educazione",Arte e Design,L-1,Beni culturali,Beni Culturali,triennale,RAVENNA,RAVENNA,accesso libero,in presenza
2024,Ca' Foscari Venezia,"Artistica, Letteraria ed Educazione",Arte e Design,L-1,Beni culturali,Conservazione e Gestione dei Beni e delle Attività Culturali,triennale,VENEZIA,VENEZIA,accesso libero,in presenza
2024,Cagliari,"Artistica, Letteraria ed Educazione",Arte e Design,L-1,Beni culturali,Beni Culturali e Spettacolo,triennale,CAGLIARI,CAGLIARI,accesso libero,mista
2024,Calabria,"Artistica, Letteraria ed Educazione",Arte e Design,L-1,Beni culturali,Lettere e Beni Culturali,triennale,COSENZA,RENDE,locale,in presenza
2024,Catania,"Artistica, Letteraria ed Educazione",Arte e Design,L-1,Beni culturali,Beni Culturali,triennale,CATANIA,CATANIA,accesso libero,in presenza
2024,Chieti e Pescara,"Artistica, Letteraria ed Educazione",Arte e Design,L-1,Beni culturali,Beni Culturali,triennale,CHIETI,CHIETI,accesso libero,in presenza
2024,Firenze,"Artistica, Letteraria ed Educazione",Arte e Design,L-1,Beni culturali,"Storia e Tutela dei Beni Archeologici, Artistici, Archivistici e Librari",triennale,FIRENZE,FIRENZE,accesso libero,in presenza
2024,Foggia,"Artistica, Letteraria ed Educazione",Arte e Design,L-1,Beni culturali,Patrimonio e Turismo Culturale,triennale,FOGGIA,FOGGIA,accesso libero,mista
2024,Genova,"Artistica, Letteraria ed Educazione",Arte e Design,L-1,Beni culturali,Conservazione dei Beni Culturali,triennale,GENOVA,GENOVA,accesso libero,in presenza
2024,Macerata,"Artistica, Letteraria ed Educazione",Arte e Design,L-1,Beni culturali,Beni Culturali e Turismo,triennale,MACERATA,MACERATA,accesso libero,in presenza
2024,Messina,"Artistica, Letteraria ed Educazione",Arte e Design,L-1,Beni culturali,"Beni Archeologici: Territorio, Insediamenti, Cultura Materiale",triennale,SIRACUSA,NOTO,accesso libero,in presenza
2024,Milano,"Artistica, Letteraria ed Educazione",Arte e Design,L-1,Beni culturali,Ancient Civilizations For The Contemporary World,triennale,MILANO,MILANO,locale,mista
2024,Milano,"Artistica, Letteraria ed Educazione",Arte e Design,L-1,Beni culturali,Scienze dei Beni Culturali,triennale,MILANO,MILANO,accesso libero,in presenza
2024,Milano Cattolica,"Artistica, Letteraria ed Educazione",Arte e Design,L-1,Beni culturali,Scienze dei beni culturali,triennale,MILANO,MILANO,accesso libero,in presenza
2024,Molise,"Artistica, Letteraria ed Educazione",Arte e Design,L-1,Beni culturali,Lettere e Beni Culturali,triennale,CAMPOBASSO,CAMPOBASSO,accesso libero,in presenza
2024,Napoli Benincasa,"Artistica, Letteraria ed Educazione",Arte e Design,L-1,Beni culturali,"Scienze dei Beni Culturali. Turismo, Arte, Archeologia",triennale,NAPOLI,NAPOLI,accesso libero,in presenza
2024,Napoli Federico II,"Artistica, Letteraria ed Educazione",Arte e Design,L-1,Beni culturali,"Archeologia, Storia delle Arti e Scienze del Patrimonio Culturale",triennale,NAPOLI,NAPOLI,accesso libero,in presenza
2024,Napoli L'Orientale,"Artistica, Letteraria ed Educazione",Arte e Design,L-1,Beni culturali,"Culture Antiche e Archeologia: Asia, Africa e Mediterraneo",triennale,NAPOLI,NAPOLI,accesso libero,in presenza
2024,Napoli Vanvitelli,"Artistica, Letteraria ed Educazione",Arte e Design,L-1,Beni culturali,Conservazione dei Beni Culturali,triennale,CASERTA,SANTA MARIA CAPUA VETERE,accesso libero,in presenza
2024,Padova,"Artistica, Letteraria ed Educazione",Arte e Design,L-1,Beni culturali,Archeologia,triennale,PADOVA,PADOVA,accesso libero,in presenza
2024,Padova,"Artistica, Letteraria ed Educazione",Arte e Design,L-1,Beni culturali,Storia e Tutela dei Beni Artistici e Musicali,triennale,PADOVA,PADOVA,accesso libero,in presenza
2024,Palermo,"Artistica, Letteraria ed Educazione",Arte e Design,L-1,Beni culturali,"Beni Culturali: Conoscenza, Gestione, Valorizzazione",triennale,PALERMO,PALERMO,accesso libero,in presenza
2024,Parma,"Artistica, Letteraria ed Educazione",Arte e Design,L-1,Beni culturali,"Beni Artistici, Librari e dello Spettacolo",triennale,PARMA,PARMA,accesso libero,mista
2024,Pavia,"Artistica, Letteraria ed Educazione",Arte e Design,L-1,Beni culturali,Musicologia,triennale,CREMONA,CREMONA,accesso libero,in presenza
2024,Pavia,"Artistica, Letteraria ed Educazione",Arte e Design,L-1,Beni culturali,Scienze Letterarie e dei Beni Culturali,triennale,CREMONA,CREMONA,accesso libero,in presenza
2024,Perugia,"Artistica, Letteraria ed Educazione",Arte e Design,L-1,Beni culturali,Beni Culturali,triennale,PERUGIA,PERUGIA,accesso libero,in presenza
2024,Pisa,"Artistica, Letteraria ed Educazione",Arte e Design,L-1,Beni culturali,Scienze dei Beni Culturali,triennale,PISA,PISA,accesso libero,in presenza
