cod_ateneo,nome_esteso,nome_operativo,type,kind_descrizione,statale_libera,status,citta,provincia,regione,macro_regione,wikidata_qid,wikidata_enLabel,wikidata_coord,wikidata_website
00101,Università degli studi di Torino,Torino,statale,Università,S,A,TORINO,TORINO,PIEMONTE,NORD-OVEST,Q499911,University of Turin,Point(7.688888888 45.069444444),https://www.unito.it
00102,Politecnico di Torino,Torino Politecnico,statale,Politecnico,S,A,TORINO,TORINO,PIEMONTE,NORD-OVEST,Q392897,Polytechnic University of Turin,Point(7.661075 45.063094444),https://www.polito.it
00103,Istituto Superiore di Educazione Fisica di Torino,Torino ISEF,non-statale,ISEF,L,M,,TORINO,PIEMONTE,NORD-OVEST,,,,
00201,"Università degli studi del Piemonte orientale ""Amedeo Avogadro""",Piemonte Orientale,statale,Università,S,A,VERCELLI,VERCELLI,PIEMONTE,NORD-OVEST,Q1235561,University of Eastern Piedmont,,https://www.uniupo.it
00401,Università di Scienze Gastronomiche,Bra Scienze Gastronomiche,non-statale,Università,L,A,BRA - FRAZ. POLLENZO,CUNEO,PIEMONTE,NORD-OVEST,Q2523033,University of Gastronomic Sciences,Point(7.89497 44.6833),https://www.unisg.it
00701,Università della Valle d'Aosta,Aosta,non-statale,Università,L,A,AOSTA,AOSTA,VALLE D'AOSTA,NORD-OVEST,Q2319621,Aosta Valley University,Point(7.3188535 45.7436531),https://www.univda.it
01001,Università degli studi di Genova,Genova,statale,Università,S,A,GENOVA,GENOVA,LIGURIA,NORD-OVEST,Q593321,University of Genoa,Point(8.9266209 44.4148535),https://unige.it
01201,"Università ""Carlo Cattaneo"" (LIUC)",Castellanza LIUC,non-statale,Università,L,A,CASTELLANZA,VARESE,LOMBARDIA,NORD-OVEST,,,,
01202,Università degli studi dell' Insubria,Insubria,statale,Università,S,A,VARESE,VARESE,LOMBARDIA,NORD-OVEST,Q1309998,University of Insubria,Point(8.8255 45.8146),https://www.uninsubria.it
01301,"Università telematica ""e-Campus"" di Novedrate (CO)",Novedrate e-Campus - telematica,telematica,Universita Telematica,L,A,NOVEDRATE,COMO,LOMBARDIA,NORD-OVEST,,,,
01501,Università degli studi di Milano,Milano,statale,Università,S,A,MILANO,MILANO,LOMBARDIA,NORD-OVEST,Q46210,University of Milan,Point(9.194659978 45.4600626),https://www.unimi.it
01502,Politecnico di Milano,Milano Politecnico,statale,Politecnico,S,A,MILANO,MILANO,LOMBARDIA,NORD-OVEST,Q392904,Polytechnic University of Milan,Point(9.227319444 45.478030555),https://www.polimi.it
01503,Università commerciale Luigi Bocconi di Milano,Milano Bocconi,non-statale,Università,L,A,MILANO,MILANO,LOMBARDIA,NORD-OVEST,,,,
